firstname,surname,bornCountry,bornCountryCode,gender,year,category,motivation
Oliver E.,Williamson,USA,USA,male,2009,economics,"""for his analysis of economic governance, especially the boundaries of the firm"""
James,Tobin,USA,USA,male,1981,economics,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices"""
Edmund S.,Phelps,USA,USA,male,2006,economics,"""for his analysis of intertemporal tradeoffs in macroeconomic policy"""
Paul,Krugman,USA,USA,male,2008,economics,"""for his analysis of trade patterns and location of economic activity"""
Roy J.,Glauber,USA,USA,male,2005,physics,"""for his contribution to the quantum theory of optical coherence"""
Murray,Gell-Mann,USA,USA,male,1969,physics,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions"""
Robert M.,Solow,USA,USA,male,1987,economics,"""for his contributions to the theory of economic growth"""
Jimmy,Carter,USA,USA,male,2002,peace,"""for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development"""
Luis Walter,Alvarez,USA,USA,male,1968,physics,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis"""
Robert Bruce,Merrifield,USA,USA,male,1984,chemistry,"""for his development of methodology for chemical synthesis on a solid matrix"""
James M.,Buchanan Jr.,USA,USA,male,1986,economics,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making"""
Elias James,Corey,USA,USA,male,1990,chemistry,"""for his development of the theory and methodology of organic synthesis"""
Daniel L.,McFadden,USA,USA,male,2000,economics,"""for his development of theory and methods for analyzing discrete choice"""
James J.,Heckman,USA,USA,male,2000,economics,"""for his development of theory and methods for analyzing selective samples"""
Irving,Langmuir,USA,USA,male,1932,chemistry,"""for his discoveries and investigations in surface chemistry"""
Joshua,Lederberg,USA,USA,male,1958,medicine,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria"""
Willis Eugene,Lamb,USA,USA,male,1955,physics,"""for his discoveries concerning the fine structure of the hydrogen spectrum"""
Roger W.,Sperry,USA,USA,male,1981,medicine,"""for his discoveries concerning the functional specialization of the cerebral hemispheres"""
Earl W.,"Sutherland, Jr.",USA,USA,male,1971,medicine,"""for his discoveries concerning the mechanisms of the action of hormones"""
Thomas Hunt,Morgan,USA,USA,male,1933,medicine,"""for his discoveries concerning the role played by the chromosome in heredity"""
Harold Clayton,Urey,USA,USA,male,1934,chemistry,"""for his discovery of heavy hydrogen"""
Stanley B.,Prusiner,USA,USA,male,1997,medicine,"""for his discovery of Prions - a new biological principle of infection"""
Edward Adelbert,Doisy,USA,USA,male,1943,medicine,"""for his discovery of the chemical nature of vitamin K"""
Arthur Holly,Compton,USA,USA,male,1927,physics,"""for his discovery of the effect named after him"""
Carl David,Anderson,USA,USA,male,1936,physics,"""for his discovery of the positron"""
Peyton,Rous,USA,USA,male,1966,medicine,"""for his discovery of tumour-inducing viruses"""
James Batcheller,Sumner,USA,USA,male,1946,chemistry,"""for his discovery that enzymes can be crystallized"""
Barack H.,Obama,USA,USA,male,2009,peace,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples"""
Paul J.,Flory,USA,USA,male,1974,chemistry,"""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules"""
Paul,Berg,USA,USA,male,1980,chemistry,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA"""
Robert S.,Mulliken,USA,USA,male,1966,chemistry,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method"""
Kary B.,Mullis,USA,USA,male,1993,chemistry,"""for his invention of the polymerase chain reaction (PCR) method"""
Ernest Miller,Hemingway,USA,USA,male,1954,literature,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style"""
Willard Frank,Libby,USA,USA,male,1960,chemistry,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science"""
Robert Burns,Woodward,USA,USA,male,1965,chemistry,"""for his outstanding achievements in the art of organic synthesis"""
Thomas Stearns,Eliot,USA,USA,male,1948,literature,"""for his outstanding, pioneer contribution to present-day poetry"""
Jack S.,Kilby,USA,USA,male,2000,physics,"""for his part in the invention of the integrated circuit"""
Herbert A.,Simon,USA,USA,male,1978,economics,"""for his pioneering research into the decision-making process within economic organizations"""
Robert,Hofstadter,USA,USA,male,1961,physics,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons"""
William,Faulkner,USA,USA,male,1949,literature,"""for his powerful and artistically unique contribution to the modern American novel"""
John,Steinbeck,USA,USA,male,1962,literature,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception"""
Linus Carl,Pauling,USA,USA,male,1954,chemistry,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances"""
Melvin,Calvin,USA,USA,male,1961,chemistry,"""for his research on the carbon dioxide assimilation in plants"""
George J.,Stigler,USA,USA,male,1982,economics,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation"""
Roger D.,Kornberg,USA,USA,male,2006,chemistry,"""for his studies of the molecular basis of eukaryotic transcription"""
William N.,Lipscomb,USA,USA,male,1976,chemistry,"""for his studies on the structure of boranes illuminating problems of chemical bonding"""
William Alfred,Fowler,USA,USA,male,1983,physics,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe"""
Kenneth G.,Wilson,USA,USA,male,1982,physics,"""for his theory for critical phenomena in connection with phase transitions"""
Sinclair,Lewis,USA,USA,male,1930,literature,"""for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters"""
Vincent,du Vigneaud,USA,USA,male,1955,chemistry,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone"""
K. Barry,Sharpless,USA,USA,male,2001,chemistry,"""for his work on chirally catalysed oxidation reactions"""
Christian B.,Anfinsen,USA,USA,male,1972,chemistry,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation"""
Robert Andrews,Millikan,USA,USA,male,1923,physics,"""for his work on the elementary charge of electricity and on the photoelectric effect"""
Paul,Modrich,USA,USA,male,2015,chemistry,"""for mechanistic studies of DNA repair"""
Paul,Modrich,USA,USA,male,2015,chemistry,"""for mechanistic studies of DNA repair"""
Robert F.,Engle III,USA,USA,male,2003,economics,"""for methods of analyzing economic time series with time-varying volatility (ARCH)"""
Richard F.,Heck,USA,USA,male,2010,chemistry,"""for palladium-catalyzed cross couplings in organic synthesis"""
Raymond,Davis Jr.,USA,USA,male,2002,physics,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"""
Roderick,MacKinnon,USA,USA,male,2003,chemistry,"""for structural and mechanistic studies of ion channels"""
Roderick,MacKinnon,USA,USA,male,2003,chemistry,"""for structural and mechanistic studies of ion channels"""
Robert J.,Lefkowitz,USA,USA,male,2012,chemistry,"""for studies of G-protein-coupled receptors"""
Brian K.,Kobilka,USA,USA,male,2012,chemistry,"""for studies of G-protein-coupled receptors"""
Robert J.,Lefkowitz,USA,USA,male,2012,chemistry,"""for studies of G-protein-coupled receptors"""
Thomas A.,Steitz,USA,USA,male,2009,chemistry,"""for studies of the structure and function of the ribosome"""
Thomas A.,Steitz,USA,USA,male,2009,chemistry,"""for studies of the structure and function of the ribosome"""
Carl E.,Wieman,USA,USA,male,2001,physics,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
Eric A.,Cornell,USA,USA,male,2001,physics,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
Lawrence R.,Klein,USA,USA,male,1980,economics,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies"""
Frederick,Reines,USA,USA,male,1995,physics,"""for the detection of the neutrino"""
Eric,Betzig,USA,USA,male,2014,chemistry,"""for the development of super-resolved fluorescence microscopy"""
William E.,Moerner,USA,USA,male,2014,chemistry,"""for the development of super-resolved fluorescence microscopy"""
Richard R.,Schrock,USA,USA,male,2005,chemistry,"""for the development of the metathesis method in organic synthesis"""
Robert H.,Grubbs,USA,USA,male,2005,chemistry,"""for the development of the metathesis method in organic synthesis"""
Clifford G.,Shull,USA,USA,male,1994,physics,"""for the development of the neutron diffraction technique"""
Alan J.,Heeger,USA,USA,male,2000,chemistry,"""for the discovery and development of conductive polymers"""
Martin,Chalfie,USA,USA,male,2008,chemistry,"""for the discovery and development of the green fluorescent protein, GFP"""
Roger Y.,Tsien,USA,USA,male,2008,chemistry,"""for the discovery and development of the green fluorescent protein, GFP"""
Roger Y.,Tsien,USA,USA,male,2008,chemistry,"""for the discovery and development of the green fluorescent protein, GFP"""
Joseph H.,Taylor Jr.,USA,USA,male,1993,physics,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"""
Russell A.,Hulse,USA,USA,male,1993,physics,"""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"""
Frank,Wilczek,USA,USA,male,2004,physics,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
H. David,Politzer,USA,USA,male,2004,physics,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
David J.,Gross,USA,USA,male,2004,physics,"""for the discovery of asymptotic freedom in the theory of the strong interaction"""
Hamilton O.,Smith,USA,USA,male,1978,medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics"""
Daniel,Nathans,USA,USA,male,1978,medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics"""
Adam G.,Riess,USA,USA,male,2011,physics,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
Adam G.,Riess,USA,USA,male,2011,physics,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
Saul,Perlmutter,USA,USA,male,2011,physics,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
Saul,Perlmutter,USA,USA,male,2011,physics,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
Brian P.,Schmidt,USA,USA,male,2011,physics,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae"""
Ben Roy,Mottelson,USA,USA,male,1975,physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"""
Leo James,Rainwater,USA,USA,male,1975,physics,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection"""
Hermann Joseph,Muller,USA,USA,male,1946,medicine,"""for the discovery of the production of mutations by means of X-ray irradiation"""
Martin L.,Perl,USA,USA,male,1995,physics,"""for the discovery of the tau lepton"""
Irwin,Rose,USA,USA,male,2004,chemistry,"""for the discovery of ubiquitin-mediated protein degradation"""
James Watson,Cronin,USA,USA,male,1980,physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons"""
Val Logsdon,Fitch,USA,USA,male,1980,physics,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons"""
Peter,Agre,USA,USA,male,2003,chemistry,"""for the discovery of water channels"""
Ernest Orlando,Lawrence,USA,USA,male,1939,physics,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements"""
Percy Williams,Bridgman,USA,USA,male,1946,physics,"""for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics"""
George E.,Smith,USA,USA,male,2009,physics,"""for the invention of an imaging semiconductor circuit - the CCD sensor"""
Donald Arthur,Glaser,USA,USA,male,1960,physics,"""for the invention of the bubble chamber"""
Norman F.,Ramsey,USA,USA,male,1989,physics,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks"""
Leon M.,Lederman,USA,USA,male,1988,physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
Melvin,Schwartz,USA,USA,male,1988,physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
Eugene Gladstone,O'Neill,USA,USA,male,1936,literature,"""for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy"""
Paul A.,Samuelson,USA,USA,male,1970,economics,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science"""
Alvin E.,Roth,USA,USA,male,2012,economics,"""for the theory of stable allocations and the practice of market design"""
Alvin E.,Roth,USA,USA,male,2012,economics,"""for the theory of stable allocations and the practice of market design"""
Lloyd S.,Shapley,USA,USA,male,2012,economics,"""for the theory of stable allocations and the practice of market design"""
George A.,Akerlof,USA,USA,male,2001,economics,"""for their analyses of markets with asymmetric information"""
Joseph E.,Stiglitz,USA,USA,male,2001,economics,"""for their analyses of markets with asymmetric information"""
A. Michael,Spence,USA,USA,male,2001,economics,"""for their analyses of markets with asymmetric information"""
Dale T.,Mortensen,USA,USA,male,2010,economics,"""for their analysis of markets with search frictions"""
Peter A.,Diamond,USA,USA,male,2010,economics,"""for their analysis of markets with search frictions"""
Dale T.,Mortensen,USA,USA,male,2010,economics,"""for their analysis of markets with search frictions"""
Arthur Leonard,Schawlow,USA,USA,male,1981,physics,"""for their contribution to the development of laser spectroscopy"""
William H.,Stein,USA,USA,male,1972,chemistry,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"""
Stanford,Moore,USA,USA,male,1972,chemistry,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule"""
Walter,Gilbert,USA,USA,male,1980,chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids"""
Dudley R.,Herschbach,USA,USA,male,1986,chemistry,"""for their contributions concerning the dynamics of chemical elementary processes"""
Edward C.,Prescott,USA,USA,male,2004,economics,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"""
Edward C.,Prescott,USA,USA,male,2004,economics,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles"""
John L.,Hall,USA,USA,male,2005,physics,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"""
John L.,Hall,USA,USA,male,2005,physics,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"""
Sheldon Lee,Glashow,USA,USA,male,1979,physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"""
Steven,Weinberg,USA,USA,male,1979,physics,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"""
Donald J.,Cram,USA,USA,male,1987,chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity"""
Edward Mills,Purcell,USA,USA,male,1952,physics,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith"""
John B.,Fenn,USA,USA,male,2002,chemistry,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules"""
H. Robert,Horvitz,USA,USA,male,2002,medicine,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'"""
George D.,Snell,USA,USA,male,1980,medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"""
Dickinson W.,Richards,USA,USA,male,1956,medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"""
William Parry,Murphy,USA,USA,male,1934,medicine,"""for their discoveries concerning liver therapy in cases of anaemia"""
George Richards,Minot,USA,USA,male,1934,medicine,"""for their discoveries concerning liver therapy in cases of anaemia"""
William Parry,Murphy,USA,USA,male,1934,medicine,"""for their discoveries concerning liver therapy in cases of anaemia"""
George Hoyt,Whipple,USA,USA,male,1934,medicine,"""for their discoveries concerning liver therapy in cases of anaemia"""
Paul C.,Lauterbur,USA,USA,male,2003,medicine,"""for their discoveries concerning magnetic resonance imaging"""
D. Carleton,Gajdusek,USA,USA,male,1976,medicine,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases"""
Baruch S.,Blumberg,USA,USA,male,1976,medicine,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases"""
Robert F.,Furchgott,USA,USA,male,1998,medicine,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"""
Ferid,Murad,USA,USA,male,1998,medicine,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"""
Louis J.,Ignarro,USA,USA,male,1998,medicine,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system"""
Joseph E.,Murray,USA,USA,male,1990,medicine,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease"""
E. Donnall,Thomas,USA,USA,male,1990,medicine,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease"""
Edwin G.,Krebs,USA,USA,male,1992,medicine,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism"""
Paul,Greengard,USA,USA,male,2000,medicine,"""for their discoveries concerning signal transduction in the nervous system"""
Bruce A.,Beutler,USA,USA,male,2011,medicine,"""for their discoveries concerning the activation of innate immunity"""
Bruce A.,Beutler,USA,USA,male,2011,medicine,"""for their discoveries concerning the activation of innate immunity"""
Gerald M.,Edelman,USA,USA,male,1972,medicine,"""for their discoveries concerning the chemical structure of antibodies"""
Edward B.,Lewis,USA,USA,male,1995,medicine,"""for their discoveries concerning the genetic control of early embryonic development"""
Eric F.,Wieschaus,USA,USA,male,1995,medicine,"""for their discoveries concerning the genetic control of early embryonic development"""
Julius,Axelrod,USA,USA,male,1970,medicine,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation"""
David,Baltimore,USA,USA,male,1975,medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"""
Howard Martin,Temin,USA,USA,male,1975,medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell"""
James Dewey,Watson,USA,USA,male,1962,medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material"""
George,Wald,USA,USA,male,1967,medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye"""
Haldan Keffer,Hartline,USA,USA,male,1967,medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye"""
Joseph L.,Goldstein,USA,USA,male,1985,medicine,"""for their discoveries concerning the regulation of cholesterol metabolism"""
Michael S.,Brown,USA,USA,male,1985,medicine,"""for their discoveries concerning the regulation of cholesterol metabolism"""
Alfred D.,Hershey,USA,USA,male,1969,medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses"""
Edwin Mattison,McMillan,USA,USA,male,1951,chemistry,"""for their discoveries in the chemistry of the transuranium elements"""
Glenn Theodore,Seaborg,USA,USA,male,1951,chemistry,"""for their discoveries in the chemistry of the transuranium elements"""
John,O'Keefe,USA,USA,male,2014,medicine,"""for their discoveries of cells that constitute a positioning system in the brain"""
Stanley,Cohen,USA,USA,male,1986,medicine,"""for their discoveries of growth factors"""
George H.,Hitchings,USA,USA,male,1988,medicine,"""for their discoveries of important principles for drug treatment"""
Leland H.,Hartwell,USA,USA,male,2001,medicine,"""for their discoveries of key regulators of the cell cycle"""
Randy W.,Schekman,USA,USA,male,2013,medicine,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"""
James E.,Rothman,USA,USA,male,2013,medicine,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"""
Randy W.,Schekman,USA,USA,male,2013,medicine,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"""
Richard,Axel,USA,USA,male,2004,medicine,"""for their discoveries of odorant receptors and the organization of the olfactory system"""
Phillip A.,Sharp,USA,USA,male,1993,medicine,"""for their discoveries of split genes"""
Herbert Spencer,Gasser,USA,USA,male,1944,medicine,"""for their discoveries relating to the highly differentiated functions of single nerve fibres"""
Joseph,Erlanger,USA,USA,male,1944,medicine,"""for their discoveries relating to the highly differentiated functions of single nerve fibres"""
Edward Calvin,Kendall,USA,USA,male,1950,medicine,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"""
Philip Showalter,Hench,USA,USA,male,1950,medicine,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"""
Robert B.,Laughlin,USA,USA,male,1998,physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
Thomas R.,Cech,USA,USA,male,1989,chemistry,"""for their discovery of catalytic properties of RNA"""
Robert Woodrow,Wilson,USA,USA,male,1978,physics,"""for their discovery of cosmic microwave background radiation"""
Robert F.,Curl Jr.,USA,USA,male,1996,chemistry,"""for their discovery of fullerenes"""
Richard E.,Smalley,USA,USA,male,1996,chemistry,"""for their discovery of fullerenes"""
Alfred G.,Gilman,USA,USA,male,1994,medicine,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"""
Martin,Rodbell,USA,USA,male,1994,medicine,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells"""
Andrew Z.,Fire,USA,USA,male,2006,medicine,"""for their discovery of RNA interference - gene silencing by double-stranded RNA"""
Craig C.,Mello,USA,USA,male,2006,medicine,"""for their discovery of RNA interference - gene silencing by double-stranded RNA"""
David M.,Lee,USA,USA,male,1996,physics,"""for their discovery of superfluidity in helium-3"""
Robert C.,Richardson,USA,USA,male,1996,physics,"""for their discovery of superfluidity in helium-3"""
Douglas D.,Osheroff,USA,USA,male,1996,physics,"""for their discovery of superfluidity in helium-3"""
Thomas Huckle,Weller,USA,USA,male,1954,medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
John Franklin,Enders,USA,USA,male,1954,medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
John Franklin,Enders,USA,USA,male,1954,medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
Frederick Chapman,Robbins,USA,USA,male,1954,medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue"""
Owen,Chamberlain,USA,USA,male,1959,physics,"""for their discovery of the antiproton"""
George F.,Smoot,USA,USA,male,2006,physics,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"""
John C.,Mather,USA,USA,male,2006,physics,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation"""
J. Michael,Bishop,USA,USA,male,1989,medicine,"""for their discovery of the cellular origin of retroviral oncogenes"""
Harold E.,Varmus,USA,USA,male,1989,medicine,"""for their discovery of the cellular origin of retroviral oncogenes"""
Arthur,Kornberg,USA,USA,male,1959,medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid"""
Edward Lawrie,Tatum,USA,USA,male,1958,medicine,"""for their discovery that genes act by regulating definite chemical events"""
George Wells,Beadle,USA,USA,male,1958,medicine,"""for their discovery that genes act by regulating definite chemical events"""
Albert Arnold (Al),Gore Jr.,USA,USA,male,2007,peace,"""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"""
Paul D.,Boyer,USA,USA,male,1997,chemistry,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)"""
Eugene F.,Fama,USA,USA,male,2013,economics,"""for their empirical analysis of asset prices"""
Lars Peter,Hansen,USA,USA,male,2013,economics,"""for their empirical analysis of asset prices"""
Robert J.,Shiller,USA,USA,male,2013,economics,"""for their empirical analysis of asset prices"""
Thomas J.,Sargent,USA,USA,male,2011,economics,"""for their empirical research on cause and effect in the macroeconomy"""
Christopher A.,Sims,USA,USA,male,2011,economics,"""for their empirical research on cause and effect in the macroeconomy"""
Clinton Joseph,Davisson,USA,USA,male,1937,physics,"""for their experimental discovery of the diffraction of electrons by crystals"""
John Hasbrouck,van Vleck,USA,USA,male,1977,physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems"""
Philip Warren,Anderson,USA,USA,male,1977,physics,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems"""
Julian,Schwinger,USA,USA,male,1965,physics,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"""
Richard P.,Feynman,USA,USA,male,1965,physics,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"""
Marshall W.,Nirenberg,USA,USA,male,1968,medicine,"""for their interpretation of the genetic code and its function in protein synthesis"""
Robert W.,Holley,USA,USA,male,1968,medicine,"""for their interpretation of the genetic code and its function in protein synthesis"""
John Robert,Schrieffer,USA,USA,male,1972,physics,"""for their jointly developed theory of superconductivity, usually called the BCS-theory"""
Leon Neil,Cooper,USA,USA,male,1972,physics,"""for their jointly developed theory of superconductivity, usually called the BCS-theory"""
John,Bardeen,USA,USA,male,1972,physics,"""for their jointly developed theory of superconductivity, usually called the BCS-theory"""
Herbert A.,Hauptman,USA,USA,male,1985,chemistry,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures"""
Jerome,Karle,USA,USA,male,1985,chemistry,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures"""
John F.,Nash Jr.,USA,USA,male,1994,economics,"""for their pioneering analysis of equilibria in the theory of non-cooperative games"""
Kenneth J.,Arrow,USA,USA,male,1972,economics,"""for their pioneering contributions to general economic equilibrium theory and welfare theory"""
Jerome I.,Friedman,USA,USA,male,1990,physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"""
Henry W.,Kendall,USA,USA,male,1990,physics,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"""
Theodore W.,Schultz,USA,USA,male,1979,economics,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries"""
Samuel Chao Chung,Ting,USA,USA,male,1976,physics,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind"""
Burton,Richter,USA,USA,male,1976,physics,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind"""
Merton H.,Miller,USA,USA,male,1990,economics,"""for their pioneering work in the theory of financial economics"""
Harry M.,Markowitz,USA,USA,male,1990,economics,"""for their pioneering work in the theory of financial economics"""
William F.,Sharpe,USA,USA,male,1990,economics,"""for their pioneering work in the theory of financial economics"""
Wendell Meredith,Stanley,USA,USA,male,1946,chemistry,"""for their preparation of enzymes and virus proteins in a pure form"""
John Howard,Northrop,USA,USA,male,1946,chemistry,"""for their preparation of enzymes and virus proteins in a pure form"""
John,Bardeen,USA,USA,male,1956,physics,"""for their researches on semiconductors and their discovery of the transistor effect"""
F. Sherwood,Rowland,USA,USA,male,1995,chemistry,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"""
William S.,Knowles,USA,USA,male,2001,chemistry,"""for their work on chirally catalysed hydrogenation reactions"""
Theodore William,Richards,USA,USA,male,1914,chemistry,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements"""
Ralph,Bunche,USA,USA,male,1950,peace,
Nicholas Murray,Butler,USA,USA,male,1931,peace,
Linus Carl,Pauling,USA,USA,male,1962,peace,
Norman E.,Borlaug,USA,USA,male,1970,peace,
Martin Luther,King Jr.,USA,USA,male,1964,peace,
Elihu,Root,USA,USA,male,1912,peace,
Frank Billings,Kellogg,USA,USA,male,1929,peace,
Thomas Woodrow,Wilson,USA,USA,male,1919,peace,
Theodore,Roosevelt,USA,USA,male,1906,peace,
John Raleigh,Mott,USA,USA,male,1946,peace,
Charles Gates,Dawes,USA,USA,male,1925,peace,
Cordell,Hull,USA,USA,male,1945,peace,
George Catlett,Marshall,USA,USA,male,1953,peace,
Baruj,Benacerraf,Venezuela,VEN,male,1980,medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions"""
Le Duc Tho,,Vietnam,VNM,male,1973,peace,
Tawakkol,Karman,Yemen,YEM,female,2011,peace,"""for their non-violent struggle for the safety of women and for women&apos"
Nadine,Gordimer,South Africa,ZAF,female,1991,literature,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity"""
