firstname,surname,bornCountry,bornCountryCode,gender,year,category,motivation
Wolfgang,Ketterle,West Germany (now Germany),DEU,male,2001,physics,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
Walther,Bothe,Germany,DEU,male,1954,physics,"""for the coincidence method and his discoveries made therewith"""
Walther,Bothe,Germany,DEU,male,1954,physics,"""for the coincidence method and his discoveries made therewith"""
Werner Karl,Heisenberg,Germany,DEU,male,1932,physics,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen"""
Johann,Deisenhofer,Germany,DEU,male,1988,chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
Hartmut,Michel,West Germany (now Germany),DEU,male,1988,chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
Robert,Huber,Germany,DEU,male,1988,chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
Johann,Deisenhofer,Germany,DEU,male,1988,chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
Wolfgang,Paul,Germany,DEU,male,1989,physics,"""for the development of the ion trap technique"""
Hans G.,Dehmelt,Prussia (now Germany),DEU,male,1989,physics,"""for the development of the ion trap technique"""
Ernst Boris,Chain,Germany,DEU,male,1945,medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases"""
Jack,Steinberger,Germany,DEU,male,1988,physics,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino"""
Adolf Otto Reinhold,Windaus,Germany,DEU,male,1928,chemistry,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins"""
John C.,Polanyi,Germany,DEU,male,1986,chemistry,"""for their contributions concerning the dynamics of chemical elementary processes"""
Theodor W.,H_nsch,Germany,DEU,male,2005,physics,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"""
Theodor W.,H_nsch,Germany,DEU,male,2005,physics,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"""
Gerd,Binnig,West Germany (now Germany),DEU,male,1986,physics,"""for their design of the scanning tunneling microscope"""
Georg,Wittig,Germany,DEU,male,1979,chemistry,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"""
Werner,Forssmann,Germany,DEU,male,1956,medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"""
Werner,Forssmann,Germany,DEU,male,1956,medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system"""
J. Hans D.,Jensen,Germany,DEU,male,1963,physics,"""for their discoveries concerning nuclear shell structure"""
Erwin,Neher,Germany,DEU,male,1991,medicine,"""for their discoveries concerning the function of single ion channels in cells"""
Bert,Sakmann,Germany,DEU,male,1991,medicine,"""for their discoveries concerning the function of single ion channels in cells"""
Sir Bernard,Katz,Germany,DEU,male,1970,medicine,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation"""
Feodor,Lynen,Germany,DEU,male,1964,medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism"""
Max,DelbrÙck,Germany,DEU,male,1969,medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses"""
Karl,Ziegler,Germany,DEU,male,1963,chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers"""
Thomas C.,SÙdhof,Germany,DEU,male,2013,medicine,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"""
Thomas C.,SÙdhof,Germany,DEU,male,2013,medicine,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"""
Otto,Loewi,Germany,DEU,male,1936,medicine,"""for their discoveries relating to chemical transmission of nerve impulses"""
Otto Paul Hermann,Diels,Germany,DEU,male,1950,chemistry,"""for their discovery and development of the diene synthesis"""
Horst L.,St_rmer,West Germany (now Germany),DEU,male,1998,physics,"""for their discovery of a new form of quantum fluid with fractionally charged excitations"""
Arno Allan,Penzias,Germany,DEU,male,1978,physics,"""for their discovery of cosmic microwave background radiation"""
James,Franck,Germany,DEU,male,1925,physics,"""for their discovery of the laws governing the impact of an electron upon an atom"""
Gustav Ludwig,Hertz,Germany,DEU,male,1925,physics,"""for their discovery of the laws governing the impact of an electron upon an atom"""
J. Georg,Bednorz,West Germany (now Germany),DEU,male,1987,physics,"""for their important break-through in the discovery of superconductivity in ceramic materials"""
Hans Karl August Simon,von Euler-Chelpin,Germany,DEU,male,1929,chemistry,"""for their investigations on the fermentation of sugar and fermentative enzymes"""
Ernst Otto,Fischer,Germany,DEU,male,1973,chemistry,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"""
Manfred,Eigen,Germany,DEU,male,1967,chemistry,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"""
Georges J.F.,K_hler,Germany,DEU,male,1984,medicine,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies"""
Rudolf Christoph,Eucken,East Friesland (now Germany),DEU,male,1908,literature,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life"""
Johann Friedrich Wilhelm Adolf,von Baeyer,Prussia (now Germany),DEU,male,1905,chemistry,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds"""
Walther Hermann,Nernst,Prussia (now Germany),DEU,male,1920,chemistry,"""in recognition of his work in thermochemistry"""
Albrecht,Kossel,Mecklenburg (now Germany),DEU,male,1910,medicine,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances"""
Hermann Emil,Fischer,Prussia (now Germany),DEU,male,1902,chemistry,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses"""
Wilhelm Conrad,R_ntgen,Prussia (now Germany),DEU,male,1901,physics,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him"""
Max Karl Ernst Ludwig,Planck,Schleswig (now Germany),DEU,male,1918,physics,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta"""
Karl Ferdinand,Braun,Hesse-Kassel (now Germany),DEU,male,1909,physics,"""in recognition of their contributions to the development of wireless telegraphy"""
