firstname,surname,bornCountryCode,gender,year,category,share,motivation
Kurt,Wôthrich,CH,male,2002,chemistry,2,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution"""
James M.,Buchanan Jr.,US,male,1986,economics,1,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making"""
Walter,Kohn,AT,male,1998,chemistry,2,"""for his development of the density-functional theory"""
Cecil Frank,Powell,GB,male,1950,physics,1,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method"""
Elias James,Corey,US,male,1990,chemistry,1,"""for his development of the theory and methodology of organic synthesis"""
Patrick Maynard Stuart,Blackett,GB,male,1948,physics,1,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation"""
Daniel L.,McFadden,US,male,2000,economics,2,"""for his development of theory and methods for analyzing discrete choice"""
James J.,Heckman,US,male,2000,economics,2,"""for his development of theory and methods for analyzing selective samples"""
Irving,Langmuir,US,male,1932,chemistry,1,"""for his discoveries and investigations in surface chemistry"""
Karl Manne Georg,Siegbahn,SE,male,1924,physics,1,"""for his discoveries and research in the field of X-ray spectroscopy"""
Joshua,Lederberg,US,male,1958,medicine,2,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria"""
Charles Brenton,Huggins,CA,male,1966,medicine,2,"""for his discoveries concerning hormonal treatment of prostatic cancer"""
Willis Eugene,Lamb,US,male,1955,physics,2,"""for his discoveries concerning the fine structure of the hydrogen spectrum"""
Roger W.,Sperry,US,male,1981,medicine,2,"""for his discoveries concerning the functional specialization of the cerebral hemispheres"""
Earl W.,"Sutherland, Jr.",US,male,1971,medicine,1,"""for his discoveries concerning the mechanisms of the action of hormones"""
Axel Hugo Theodor,Theorell,SE,male,1955,medicine,1,"""for his discoveries concerning the nature and mode of action of oxidation enzymes"""
Thomas Hunt,Morgan,US,male,1933,medicine,1,"""for his discoveries concerning the role played by the chromosome in heredity"""
Max,Theiler,ZA,male,1951,medicine,1,"""for his discoveries concerning yellow fever and how to combat it"""
Albert,von Szent-Gy_rgyi Nagyrˆpolt,HU,male,1937,medicine,1,"""for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid"""
Hermann,Staudinger,DE,male,1953,chemistry,1,"""for his discoveries in the field of macromolecular chemistry"""
Hermann,Staudinger,DE,male,1953,chemistry,1,"""for his discoveries in the field of macromolecular chemistry"""
Yoshinori,Ohsumi,JP,male,2016,medicine,1,"""for his discoveries of mechanisms for autophagy"""
Georg,von B_k_sy,HU,male,1961,medicine,1,"""for his discoveries of the physical mechanism of stimulation within the cochlea"""
Wilhelm,Wien,RU,male,1911,physics,1,"""for his discoveries regarding the laws governing the radiation of heat"""
Jules,Bordet,BE,male,1919,medicine,1,"""for his discoveries relating to immunity"""
Daniel,Bovet,CH,male,1957,medicine,1,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles"""
Ronald H.,Coase,GB,male,1991,economics,1,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy"""
Jaroslav,Heyrovsky,CZ,male,1959,chemistry,1,"""for his discovery and development of the polarographic methods of analysis"""
Fritz Albert,Lipmann,RU,male,1953,medicine,2,"""for his discovery of co-enzyme A and its importance for intermediary metabolism"""
Fritz Albert,Lipmann,RU,male,1953,medicine,2,"""for his discovery of co-enzyme A and its importance for intermediary metabolism"""
Victor Franz,Hess,AT,male,1936,physics,2,"""for his discovery of cosmic radiation"""
Harold Clayton,Urey,US,male,1934,chemistry,1,"""for his discovery of heavy hydrogen"""
Karl,Landsteiner,AT,male,1930,medicine,1,"""for his discovery of human blood groups"""
Harald,zur Hausen,DE,male,2008,medicine,2,"""for his discovery of human papilloma viruses causing cervical cancer"""
Stanley B.,Prusiner,US,male,1997,medicine,1,"""for his discovery of Prions - a new biological principle of infection"""
Selman Abraham,Waksman,UA,male,1952,medicine,1,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis"""
Luis F.,Leloir,FR,male,1970,chemistry,1,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates"""
Christiaan,Eijkman,NL,male,1929,medicine,2,"""for his discovery of the antineuritic vitamin"""
Schack August Steenberg,Krogh,DK,male,1920,medicine,1,"""for his discovery of the capillary motor regulating mechanism"""
Charles Glover,Barkla,GB,male,1917,physics,1,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements"""
Edward Adelbert,Doisy,US,male,1943,medicine,2,"""for his discovery of the chemical nature of vitamin K"""
